Date,Product_ID,Product_Name,Category,Region,Units_Sold,Revenue_USD,Cost_USD,Profit_USD,Marketing_Spend_USD,Customer_Rating,Returns,New_Customers,Review
2026-01-01,P002,FitBand Pro,Wearables,North,190,22800,12628.38,10171.62,1553.59,3.9,8,32,Had some issues after purchase.
2026-01-02,P010,Laptop Air,Electronics,West,66,52800,26746.12,26053.88,4140.73,4.4,0,60,Decent quality for the price.
2026-01-03,P009,Tablet Lite,Electronics,West,162,40500,24252.45,16247.55,3489.67,4.8,2,118,"Excellent product, highly recommend."
2026-01-04,P006,Wireless Keyboard,Accessories,East,129,14190,7767.17,6422.83,2117.92,3.9,3,34,Not satisfied with the build quality.
2026-01-05,P006,Wireless Keyboard,Accessories,East,185,20350,13788.51,6561.49,2948.01,4.4,6,30,Decent quality for the price.
2026-01-06,P009,Tablet Lite,Electronics,East,235,58750,36837.28,21912.72,8318.67,3.9,3,84,Not satisfied with the build quality.
2026-01-07,P002,FitBand Pro,Wearables,South,101,12120,7073.57,5046.43,1320.39,4.8,1,104,Very satisfied with the performance.
2026-01-08,P006,Wireless Keyboard,Accessories,South,186,20460,13389.03,7070.97,2841.1,3.9,2,146,Customer support could be better.
2026-01-09,P004,PowerBank Max,Accessories,South,286,22880,13350.03,9529.97,4087.24,4.6,8,66,Very satisfied with the performance.
2026-01-10,P006,Wireless Keyboard,Accessories,North,167,18370,12506.23,5863.77,2841.03,4.3,1,64,Average experience so far.
2026-01-11,P010,Laptop Air,Electronics,East,158,126400,81426.44,44973.56,12821.02,4.9,7,46,Great value for money.
2026-01-12,P005,Gaming Mouse Pro,Accessories,South,176,15840,10516.14,5323.86,1901.86,4.7,6,112,Great value for money.
2026-01-13,P006,Wireless Keyboard,Accessories,South,120,13200,8079.66,5120.34,816.0,3.9,0,49,Would not buy again.
2026-01-14,P003,NoiseBuds Air,Audio,West,82,8200,4794.12,3405.88,1045.22,4.4,2,12,Average experience so far.
2026-01-15,P002,FitBand Pro,Wearables,Central,186,22320,14934.13,7385.87,2103.05,4.2,2,126,Functional and practical.
2026-01-16,P001,SmartWatch X,Wearables,East,306,45900,30644.29,15255.71,5324.34,3.9,9,139,Had some issues after purchase.
2026-01-17,P010,Laptop Air,Electronics,South,128,102400,59623.53,42776.47,7270.54,4.9,4,10,Great value for money.
2026-01-18,P010,Laptop Air,Electronics,East,300,240000,121028.37,118971.63,40987.88,4.9,9,71,Great value for money.
2026-01-19,P001,SmartWatch X,Wearables,South,340,51000,36124.77,14875.23,3117.88,4.4,2,146,Good overall but has room for improvement.
2026-01-20,P003,NoiseBuds Air,Audio,South,293,29300,20753.39,8546.61,2093.97,4.4,9,118,Functional and practical.
2026-01-21,P004,PowerBank Max,Accessories,Central,152,12160,7987.28,4172.72,1238.73,4.6,5,122,Easy to use and reliable.
2026-01-22,P009,Tablet Lite,Electronics,West,111,27750,15388.46,12361.54,1618.47,3.8,4,68,Would not buy again.
2026-01-23,P010,Laptop Air,Electronics,South,53,42400,21862.22,20537.78,5598.64,4.1,0,94,Works as expected.
2026-01-24,P002,FitBand Pro,Wearables,Central,171,20520,11517.16,9002.84,2320.89,4.4,7,72,Average experience so far.
2026-01-25,P008,Security Camera,Smart Home,West,147,26460,13779.09,12680.91,3589.77,4.2,6,129,Functional and practical.
2026-01-26,P001,SmartWatch X,Wearables,North,81,12150,7151.21,4998.79,1143.43,4.8,1,59,Great value for money.
2026-01-27,P004,PowerBank Max,Accessories,Central,279,22320,11848.35,10471.65,1648.41,4.4,13,29,Works as expected.
2026-01-28,P008,Security Camera,Smart Home,Central,100,18000,9200.33,8799.67,3238.32,4.8,0,70,Easy to use and reliable.
2026-01-29,P003,NoiseBuds Air,Audio,West,298,29800,18055.79,11744.21,4839.66,4.9,2,107,Very satisfied with the performance.
2026-01-30,P001,SmartWatch X,Wearables,West,185,27750,19531.39,8218.61,4219.85,4.1,8,134,Average experience so far.
2026-01-31,P003,NoiseBuds Air,Audio,South,201,20100,11012.67,9087.33,1157.82,4.7,0,90,Very satisfied with the performance.
2026-02-01,P001,SmartWatch X,Wearables,North,349,52350,31666.17,20683.83,8874.39,4.4,1,140,Good overall but has room for improvement.
2026-02-02,P002,FitBand Pro,Wearables,South,85,10200,6435.26,3764.74,1405.33,4.1,0,73,Average experience so far.
2026-02-03,P010,Laptop Air,Electronics,Central,70,56000,35630.78,20369.22,5851.96,4.5,2,76,Very satisfied with the performance.
2026-02-04,P004,PowerBank Max,Accessories,East,172,13760,7684.07,6075.93,922.12,4.6,7,90,Exceeded my expectations.
2026-02-05,P002,FitBand Pro,Wearables,North,284,34080,21697.2,12382.8,4198.29,3.9,8,64,Had some issues after purchase.
2026-02-06,P009,Tablet Lite,Electronics,East,117,29250,20630.52,8619.48,4811.99,4.9,2,82,"Excellent product, highly recommend."
2026-02-07,P003,NoiseBuds Air,Audio,West,328,32800,21476.74,11323.26,4248.19,5.0,16,12,Easy to use and reliable.
2026-02-08,P009,Tablet Lite,Electronics,East,103,25750,18194.04,7555.96,1737.04,3.9,0,49,Customer support could be better.
